,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Local Government Renewables Action Tracker - Transaction Data (01/01/2015 - 06/30/2022),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Updated 12/21/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Buyer Data,,,,,,Transaction Overview,,,,,,,,,Development and Operation Details,,,,,,,,Data Source Details,,,,,,,,,,,,,,,,,,,,,,,
Ref. No.,Buyer Name,State,City Latitude,City Longitude,ISO or FERC Region,Announcement Year,Announcement Year (or Operations Year if Announcement Year unavailable),Announcement Date,Technology,Transaction Type,Size of Purchase (MW),DC/AC,Contract Length (Year),Energy Price in Year 1 ($/MWh),Utility Name,Utility Type,Developer Name,Project Name,Project Location,Project State,Operation Start Year,Estimated Annual Generation (MWh),Source 1,Source 2,Source 3,Source 4,Source 5,Notes,,,,,,,,,,,,,,,,,,
992,Buncombe County,North Carolina,35.6292222,-82.5255603,Southeast,2021,2021,07/13/2021,Solar,On-site,0.122,DC,,,Duke Energy Progress,Investor-owned Utility,,Asheville Campus - Ferguson,Buncombe County,North Carolina,,,https://www.citizen-times.com/story/news/2021/07/02/buncombe-county-nc-sustainable-energy-project-installs-solar-panels/7834580002/,https://www.buncombecounty.org/countycenter/news-detail.aspx?id=19475,https://www.citizen-times.com/story/news/local/2020/08/10/nc-largest-public-solar-projects-happening-asheville-buncombe/3317825001/,City Contact,,,,,,,,,,,,,,,,,,,,
993,Buncombe County,North Carolina,35.6292222,-82.5255603,Southeast,2021,2021,07/13/2021,Solar,On-site,0.122,DC,,,Duke Energy Progress,Investor-owned Utility,,Asheville Campus - Coman,Buncombe County,North Carolina,,,https://www.citizen-times.com/story/news/2021/07/02/buncombe-county-nc-sustainable-energy-project-installs-solar-panels/7834580002/,https://www.buncombecounty.org/countycenter/news-detail.aspx?id=19474,https://www.citizen-times.com/story/news/local/2020/08/10/nc-largest-public-solar-projects-happening-asheville-buncombe/3317825001/,City Contact,,,,,,,,,,,,,,,,,,,,
994,Buncombe County,North Carolina,35.6292222,-82.5255603,Southeast,2021,2021,07/13/2021,Solar,On-site,0.128,DC,,,Duke Energy Progress,Investor-owned Utility,,Asheville Campus - Bailey,Buncombe County,North Carolina,,,https://www.citizen-times.com/story/news/2021/07/02/buncombe-county-nc-sustainable-energy-project-installs-solar-panels/7834580002/,https://www.buncombecounty.org/countycenter/news-detail.aspx?id=19471,https://www.citizen-times.com/story/news/local/2020/08/10/nc-largest-public-solar-projects-happening-asheville-buncombe/3317825001/,City Contact,,,,,,,,,,,,,,,,,,,,
995,Buncombe County,North Carolina,35.6292222,-82.5255603,Southeast,2021,2021,07/13/2021,Solar,On-site,0.128,DC,,,Duke Energy Progress,Investor-owned Utility,,Asheville Campus - Birch,Buncombe County,North Carolina,,,https://www.citizen-times.com/story/news/2021/07/02/buncombe-county-nc-sustainable-energy-project-installs-solar-panels/7834580002/,https://www.buncombecounty.org/countycenter/news-detail.aspx?id=19472,https://www.citizen-times.com/story/news/local/2020/08/10/nc-largest-public-solar-projects-happening-asheville-buncombe/3317825001/,City Contact,,,,,,,,,,,,,,,,,,,,
996,Buncombe County,North Carolina,35.6292222,-82.5255603,Southeast,2021,2021,07/13/2021,Solar,On-site,0.128,DC,,,Duke Energy Progress,Investor-owned Utility,,Asheville Campus - Conference Center,Buncombe County,North Carolina,,,https://www.citizen-times.com/story/news/2021/07/02/buncombe-county-nc-sustainable-energy-project-installs-solar-panels/7834580002/,https://www.buncombecounty.org/countycenter/news-detail.aspx?id=19473,https://www.citizen-times.com/story/news/local/2020/08/10/nc-largest-public-solar-projects-happening-asheville-buncombe/3317825001/,City Contact,,,,,,,,,,,,,,,,,,,,
997,Buncombe County,North Carolina,35.6292222,-82.5255603,Southeast,2021,2021,07/13/2021,Solar,On-site,0.135,DC,,,Duke Energy Progress,Investor-owned Utility,,Buncombe PSTC - Training Center,Buncombe County,North Carolina,,,https://www.citizen-times.com/story/news/2021/07/02/buncombe-county-nc-sustainable-energy-project-installs-solar-panels/7834580002/,https://www.buncombecounty.org/countycenter/news-detail.aspx?id=19459,https://www.citizen-times.com/story/news/local/2020/08/10/nc-largest-public-solar-projects-happening-asheville-buncombe/3317825001/,City Contact,,,,,,,,,,,,,,,,,,,,
998,Buncombe County,North Carolina,35.6292222,-82.5255603,Southeast,2021,2021,07/13/2021,Solar,On-site,0.173,DC,,,Duke Energy Progress,Investor-owned Utility,,Stanley Center,Buncombe County,North Carolina,,,https://www.citizen-times.com/story/news/2021/07/02/buncombe-county-nc-sustainable-energy-project-installs-solar-panels/7834580002/,https://www.buncombecounty.org/countycenter/news-detail.aspx?id=19452,https://www.citizen-times.com/story/news/local/2020/08/10/nc-largest-public-solar-projects-happening-asheville-buncombe/3317825001/,City Contact,,,,,,,,,,,,,,,,,,,,
999,Buncombe County,North Carolina,35.6292222,-82.5255603,Southeast,2021,2021,07/13/2021,Solar,On-site,0.176,DC,,,Duke Energy Progress,Investor-owned Utility,,Enka Campus,Buncombe County,North Carolina,,,https://www.citizen-times.com/story/news/2021/07/02/buncombe-county-nc-sustainable-energy-project-installs-solar-panels/7834580002/,https://www.buncombecounty.org/countycenter/news-detail.aspx?id=19477,https://www.citizen-times.com/story/news/local/2020/08/10/nc-largest-public-solar-projects-happening-asheville-buncombe/3317825001/,City Contact,,,,,,,,,,,,,,,,,,,,
1000,Buncombe County,North Carolina,35.6292222,-82.5255603,Southeast,2021,2021,07/13/2021,Solar,On-site,0.178,DC,,,Duke Energy Progress,Investor-owned Utility,,AHS - Vocational,Buncombe County,North Carolina,,,https://www.citizen-times.com/story/news/2021/07/02/buncombe-county-nc-sustainable-energy-project-installs-solar-panels/7834580002/,https://www.buncombecounty.org/countycenter/news-detail.aspx?id=19483,https://www.citizen-times.com/story/news/local/2020/08/10/nc-largest-public-solar-projects-happening-asheville-buncombe/3317825001/,City Contact,,,,,,,,,,,,,,,,,,,,
1001,Buncombe County,North Carolina,35.6292222,-82.5255603,Southeast,2021,2021,07/13/2021,Solar,On-site,0.182,DC,,,Duke Energy Progress,Investor-owned Utility,,Animal Shelter,Buncombe County,North Carolina,,,https://www.citizen-times.com/story/news/2021/07/02/buncombe-county-nc-sustainable-energy-project-installs-solar-panels/7834580002/,https://www.buncombecounty.org/countycenter/news-detail.aspx?id=19457,https://www.citizen-times.com/story/news/local/2020/08/10/nc-largest-public-solar-projects-happening-asheville-buncombe/3317825001/,City Contact,,,,,,,,,,,,,,,,,,,,
1002,Buncombe County,North Carolina,35.6292222,-82.5255603,Southeast,2021,2021,07/13/2021,Solar,On-site,0.195,DC,,,Duke Energy Progress,Investor-owned Utility,,Montford Academy,Buncombe County,North Carolina,,,https://www.citizen-times.com/story/news/2021/07/02/buncombe-county-nc-sustainable-energy-project-installs-solar-panels/7834580002/,https://www.buncombecounty.org/countycenter/news-detail.aspx?id=19479,https://www.citizen-times.com/story/news/local/2020/08/10/nc-largest-public-solar-projects-happening-asheville-buncombe/3317825001/,City Contact,,,,,,,,,,,,,,,,,,,,
1003,Buncombe County,North Carolina,35.6292222,-82.5255603,Southeast,2021,2021,07/13/2021,Solar,On-site,0.199,DC,,,Duke Energy Progress,Investor-owned Utility,,Public Works Building ,Buncombe County,North Carolina,,,https://www.citizen-times.com/story/news/2021/07/02/buncombe-county-nc-sustainable-energy-project-installs-solar-panels/7834580002/,https://www.buncombecounty.org/countycenter/news-detail.aspx?id=19463,https://www.citizen-times.com/story/news/local/2020/08/10/nc-largest-public-solar-projects-happening-asheville-buncombe/3317825001/,City Contact,,,,,,,,,,,,,,,,,,,,
1004,Buncombe County,North Carolina,35.6292222,-82.5255603,Southeast,2021,2021,07/13/2021,Solar,On-site,0.203,DC,,,Duke Energy Progress,Investor-owned Utility,,Aquatic Center,Buncombe County,North Carolina,,,https://www.citizen-times.com/story/news/2021/07/02/buncombe-county-nc-sustainable-energy-project-installs-solar-panels/7834580002/,https://www.buncombecounty.org/countycenter/news-detail.aspx?id=19487,https://www.citizen-times.com/story/news/local/2020/08/10/nc-largest-public-solar-projects-happening-asheville-buncombe/3317825001/,City Contact,,,,,,,,,,,,,,,,,,,,
1005,Buncombe County,North Carolina,35.6292222,-82.5255603,Southeast,2021,2021,07/13/2021,Solar,On-site,0.203,DC,,,Duke Energy Progress,Investor-owned Utility,,Erwin High - Main Acct,Buncombe County,North Carolina,,,https://www.citizen-times.com/story/news/2021/07/02/buncombe-county-nc-sustainable-energy-project-installs-solar-panels/7834580002/,https://www.buncombecounty.org/countycenter/news-detail.aspx?id=19497,https://www.citizen-times.com/story/news/local/2020/08/10/nc-largest-public-solar-projects-happening-asheville-buncombe/3317825001/,City Contact,,,,,,,,,,,,,,,,,,,,
1006,Buncombe County,North Carolina,35.6292222,-82.5255603,Southeast,2021,2021,07/13/2021,Solar,On-site,0.204,DC,,,Duke Energy Progress,Investor-owned Utility,,Ira Jones (Large Acct),Buncombe County,North Carolina,,,https://www.citizen-times.com/story/news/2021/07/02/buncombe-county-nc-sustainable-energy-project-installs-solar-panels/7834580002/,https://www.buncombecounty.org/countycenter/news-detail.aspx?id=19481,https://www.citizen-times.com/story/news/local/2020/08/10/nc-largest-public-solar-projects-happening-asheville-buncombe/3317825001/,City Contact,,,,,,,,,,,,,,,,,,,,
1007,Buncombe County,North Carolina,35.6292222,-82.5255603,Southeast,2021,2021,07/13/2021,Solar,On-site,0.243,DC,,,Duke Energy Progress,Investor-owned Utility,,Owen Middle - Main Acct,Buncombe County,North Carolina,,,https://www.citizen-times.com/story/news/2021/07/02/buncombe-county-nc-sustainable-energy-project-installs-solar-panels/7834580002/,https://www.buncombecounty.org/countycenter/news-detail.aspx?id=19492,https://www.citizen-times.com/story/news/local/2020/08/10/nc-largest-public-solar-projects-happening-asheville-buncombe/3317825001/,City Contact,,,,,,,,,,,,,,,,,,,,
1008,Buncombe County,North Carolina,35.6292222,-82.5255603,Southeast,2021,2021,07/13/2021,Solar,On-site,0.243,DC,,,Duke Energy Progress,Investor-owned Utility,,HHS BLDG and Garage,Buncombe County,North Carolina,,,https://www.citizen-times.com/story/news/2021/07/02/buncombe-county-nc-sustainable-energy-project-installs-solar-panels/7834580002/,https://www.buncombecounty.org/countycenter/news-detail.aspx?id=19450,https://www.citizen-times.com/story/news/local/2020/08/10/nc-largest-public-solar-projects-happening-asheville-buncombe/3317825001/,City Contact,,,,,,,,,,,,,,,,,,,,
1009,Buncombe County,North Carolina,35.6292222,-82.5255603,Southeast,2021,2021,07/13/2021,Solar,On-site,0.249,DC,,,Duke Energy Progress,Investor-owned Utility,,Vance,Buncombe County,North Carolina,,,https://www.citizen-times.com/story/news/2021/07/02/buncombe-county-nc-sustainable-energy-project-installs-solar-panels/7834580002/,https://www.buncombecounty.org/countycenter/news-detail.aspx?id=19478,https://www.citizen-times.com/story/news/local/2020/08/10/nc-largest-public-solar-projects-happening-asheville-buncombe/3317825001/,City Contact,,,,,,,,,,,,,,,,,,,,
1010,Buncombe County,North Carolina,35.6292222,-82.5255603,Southeast,2021,2021,07/13/2021,Solar,On-site,0.266,DC,,,Duke Energy Progress,Investor-owned Utility,,Asheville Campus - Dogwood,Buncombe County,North Carolina,,,https://www.citizen-times.com/story/news/2021/07/02/buncombe-county-nc-sustainable-energy-project-installs-solar-panels/7834580002/,https://www.buncombecounty.org/countycenter/news-detail.aspx?id=19468,https://www.citizen-times.com/story/news/local/2020/08/10/nc-largest-public-solar-projects-happening-asheville-buncombe/3317825001/,City Contact,,,,,,,,,,,,,,,,,,,,
1011,Buncombe County,North Carolina,35.6292222,-82.5255603,Southeast,2021,2021,07/13/2021,Solar,On-site,0.268,DC,,,Duke Energy Progress,Investor-owned Utility,,Glen Arden,Buncombe County,North Carolina,,,https://www.citizen-times.com/story/news/2021/07/02/buncombe-county-nc-sustainable-energy-project-installs-solar-panels/7834580002/,https://www.buncombecounty.org/countycenter/news-detail.aspx?id=19486,https://www.citizen-times.com/story/news/local/2020/08/10/nc-largest-public-solar-projects-happening-asheville-buncombe/3317825001/,City Contact,,,,,,,,,,,,,,,,,,,,
1012,Buncombe County,North Carolina,35.6292222,-82.5255603,Southeast,2021,2021,07/13/2021,Solar,On-site,0.309,DC,,,Duke Energy Progress,Investor-owned Utility,,Hominy Valley - Ground,Buncombe County,North Carolina,,,https://www.citizen-times.com/story/news/2021/07/02/buncombe-county-nc-sustainable-energy-project-installs-solar-panels/7834580002/,https://www.buncombecounty.org/countycenter/news-detail.aspx?id=19489,https://www.citizen-times.com/story/news/local/2020/08/10/nc-largest-public-solar-projects-happening-asheville-buncombe/3317825001/,City Contact,,,,,,,,,,,,,,,,,,,,
1013,Buncombe County,North Carolina,35.6292222,-82.5255603,Southeast,2021,2021,07/13/2021,Solar,On-site,0.329,DC,,,Duke Energy Progress,Investor-owned Utility,,Hominy Valley - Roof,Buncombe County,North Carolina,,,https://www.citizen-times.com/story/news/2021/07/02/buncombe-county-nc-sustainable-energy-project-installs-solar-panels/7834580002/,https://www.buncombecounty.org/countycenter/news-detail.aspx?id=19488,https://www.citizen-times.com/story/news/local/2020/08/10/nc-largest-public-solar-projects-happening-asheville-buncombe/3317825001/,City Contact,,,,The largest brownfield solar installation in the nation as of January 2021,,,,,,,,,,,,,,,,
1014,Buncombe County,North Carolina,35.6292222,-82.5255603,Southeast,2021,2021,07/13/2021,Solar,On-site,0.354,DC,,,Duke Energy Progress,Investor-owned Utility,,Asheville Middle,Buncombe County,North Carolina,,,https://www.citizen-times.com/story/news/2021/07/02/buncombe-county-nc-sustainable-energy-project-installs-solar-panels/7834580002/,https://www.buncombecounty.org/countycenter/news-detail.aspx?id=19480,https://www.citizen-times.com/story/news/local/2020/08/10/nc-largest-public-solar-projects-happening-asheville-buncombe/3317825001/,City Contact,,,,,,,,,,,,,,,,,,,,
1015,Buncombe County,North Carolina,35.6292222,-82.5255603,Southeast,2021,2021,07/13/2021,Solar,On-site,0.356,DC,,,Duke Energy Progress,Investor-owned Utility,,North Windy Int,Buncombe County,North Carolina,,,https://www.citizen-times.com/story/news/2021/07/02/buncombe-county-nc-sustainable-energy-project-installs-solar-panels/7834580002/,https://www.buncombecounty.org/countycenter/news-detail.aspx?id=19498,https://www.citizen-times.com/story/news/local/2020/08/10/nc-largest-public-solar-projects-happening-asheville-buncombe/3317825001/,City Contact,,,,,,,,,,,,,,,,,,,,
1016,Buncombe County,North Carolina,35.6292222,-82.5255603,Southeast,2021,2021,07/13/2021,Solar,On-site,0.371,DC,,,Duke Energy Progress,Investor-owned Utility,,Erwin High - Kitchen Acct,Buncombe County,North Carolina,,,https://www.citizen-times.com/story/news/2021/07/02/buncombe-county-nc-sustainable-energy-project-installs-solar-panels/7834580002/,https://www.buncombecounty.org/countycenter/news-detail.aspx?id=19496,https://www.citizen-times.com/story/news/local/2020/08/10/nc-largest-public-solar-projects-happening-asheville-buncombe/3317825001/,City Contact,,,,,,,,,,,,,,,,,,,,
1017,Buncombe County,North Carolina,35.6292222,-82.5255603,Southeast,2021,2021,07/13/2021,Solar,On-site,0.393,DC,,,Duke Energy Progress,Investor-owned Utility,,Cane Creek Middle,Buncombe County,North Carolina,,,https://www.citizen-times.com/story/news/2021/07/02/buncombe-county-nc-sustainable-energy-project-installs-solar-panels/7834580002/,https://www.buncombecounty.org/countycenter/news-detail.aspx?id=19491,https://www.citizen-times.com/story/news/local/2020/08/10/nc-largest-public-solar-projects-happening-asheville-buncombe/3317825001/,City Contact,,,,,,,,,,,,,,,,,,,,
1018,Buncombe County,North Carolina,35.6292222,-82.5255603,Southeast,2021,2021,07/13/2021,Solar,On-site,0.443,DC,,,Duke Energy Progress,Investor-owned Utility,,Enka Intermediate,Buncombe County,North Carolina,,,https://www.citizen-times.com/story/news/2021/07/02/buncombe-county-nc-sustainable-energy-project-installs-solar-panels/7834580002/,https://www.buncombecounty.org/countycenter/news-detail.aspx?id=19490,https://www.citizen-times.com/story/news/local/2020/08/10/nc-largest-public-solar-projects-happening-asheville-buncombe/3317825001/,City Contact,,,,,,,,,,,,,,,,,,,,
1019,Buncombe County,North Carolina,35.6292222,-82.5255603,Southeast,2021,2021,07/13/2021,Solar,On-site,0.531,DC,,,Duke Energy Progress,Investor-owned Utility,,Asheville Campus - Allied Health - Canopies,Buncombe County,North Carolina,,,https://www.citizen-times.com/story/news/2021/07/02/buncombe-county-nc-sustainable-energy-project-installs-solar-panels/7834580002/,https://www.buncombecounty.org/countycenter/news-detail.aspx?id=19467,https://www.citizen-times.com/story/news/local/2020/08/10/nc-largest-public-solar-projects-happening-asheville-buncombe/3317825001/,City Contact,,,,,,,,,,,,,,,,,,,,
1020,Charlotte,North Carolina,35.2272086,-80.843083,Southeast,2020,2020,02/24/2020,Solar,Green Tariff,35.000,,,,Duke Energy,Investor-owned Utility,Carolina Solar Energy; Exoplexus,,,,2022,,https://charlottenc.gov/newsroom/releases/Pages/City-of-Charlotte-Announces-Partnership-to-Construct-Major-Utility-Scale-Solar-Energy-Project.aspx,,,,,,,,,,,,,,,,,,,,,,,
1021,Fayetteville,North Carolina,35.0525759,-78.878292,Southeast,,2019,,Solar,Community Solar,0.859,AC,,,Fayetteville Public Works Commission,Municipal Utility,,PWC Community Solar,,,2019,,https://data.nrel.gov/submissions/131,,,,,,,,,,,,,,,,,,,,,,,
1022,Fayetteville,North Carolina,35.0525759,-78.878292,Southeast,2022,2022,05/05/2022,Biogas,On-site,1.500,,,,Fayetteville Public Works Commission (PWC),Municipal Utility,Bloom Energy,Fayetteville Biogas Fuel Cell Project,Fayetteville,North Carolina,,,https://www.faypwc.com/pwc-announces-first-of-its-kind-renewable-energy-project/,https://www.bloomenergy.com/news/fayetteville-pwc-and-bloom-energy-to-transform-waste-into-clean-community-electricity/,https://www.publicpower.org/periodical/article/fayetteville-nc-utility-planning-install-15-mw-biogas-fuel-cell,,,,,,,,,,,,,,,,,,,,,
1023,Raleigh,North Carolina,35.7803977,-78.6390989,Southeast,2018,2018,10/15/2018,Solar,On-site,0.038,DC,,,Duke Energy Progress,Investor-owned Utility,"Nationwide Electrical Services, Inc.",Oak City Multi-Services Center Solar Project,Raleigh,North Carolina,2019,,https://www.wakegov.com/departments-government/facilities-design-construction/facilities-design-construction-projects/completed-projects/oak-city-multi-services-center-solar-pv-installation,https://spectrumlocalnews.com/nc/triangle-sandhills/news/2018/10/16/wake-county-buildings-will-be-solar-powered-by-2050,,,,,,,,,,,,,,,,,,,,,,
1024,Raleigh,North Carolina,35.7803977,-78.6390989,Southeast,2018,2018,10/15/2018,Solar,On-site,0.099,DC,,,Duke Energy Progress,Investor-owned Utility,,South Wilmington Street Center Solar Project,Raleigh,North Carolina,2019,,https://spectrumlocalnews.com/nc/triangle-sandhills/news/2018/10/16/wake-county-buildings-will-be-solar-powered-by-2050,,,,,,,,,,,,,,,,,,,,,,,
1025,Wake County,North Carolina,35.7979355,-78.6118311,Southeast,2021,2021,09/20/2021,Solar,On-site,0.330,DC,,,Duke Energy Progress,Investor-owned Utility,8MSolar,Wake County Multi-Site Solar Project,Wake County,North Carolina,2022,298,https://www.wakegov.com/news/wake-county-invests-clean-energy-solar-panels-nine-facilities,https://wake.legistar.com/View.ashx?M=F&ID=9815039&GUID=861696E0-4095-49BB-9CEA-652C66D52B01,,,,,,,,,,,,,,,,,,,,,,
1026,Wendell,North Carolina,35.780987,-78.3697213,Southeast,,2020,,Solar,On-site,0.030,DC,,,Duke Energy Progress,Investor-owned Utility,,Wendell Falls Public Safety Building Solar Project,Wendell,North Carolina,2020,,https://www.wakegov.com/departments-government/facilities-design-construction/facilities-design-construction-projects/completed-projects/wendell-falls-public-safety-project,https://wake.legistar.com/View.ashx?M=F&ID=9815039&GUID=861696E0-4095-49BB-9CEA-652C66D52B01,,,,,,,,,,,,,,,,,,,,,,
1027,Athens County,Ohio,39.355589,-82.06104,PJM,,2021,,Solar,On-site,0.034,,,,,,Third Sun Solar,Athens County Emergency Medical Services (EMS) Station #51 solar project,Athens County,Ohio,2021,,https://www.athensmessenger.com/energy-efficient-solar-ems-station-open-by-athens-county/article_d3e18370-87d6-54ea-8300-f937bca6ed60.html,,,,,,,,,,,,,,,,,,,,,,,
1028,Cincinnati,Ohio,39.1014537,-84.51246,PJM,,2022,,Solar,On-site,0.083,,,,Duke Energy,Investor-owned Utility,,Public Services Admin Building Solar,Cincinnati,Ohio,2022,,City contact,,,,,,,,,,,,,,,,,,,,,,,
1029,Cincinnati,Ohio,39.1014537,-84.51246,PJM,2018,2018,12/14/2018 ,Solar,On-site,0.088,,,,Duke Energy,Investor-owned Utility,,Fire House 51 Solar,Cincinnati,Ohio,2022,,City contact,https://www.google.com/url?sa=t&rct=j&q=&esrc=s&source=web&cd=&cad=rja&uact=8&ved=2ahUKEwiwqdPVkvH1AhU7FzQIHQAIADkQFnoECA0QAQ&url=https%3A%2F%2Fdata.cincinnati-oh.gov%2Fviews%2Fb397-t996%2Ffiles%2F5493bd0d-9d25-4a0b-9fcc-b7c211a1f4a5%3Ffilename%3DRFQ668OESSOLAR.pdf%26content_type%3Dapplication%25252Fpdf%25253B%252520charset%25253Dbinary&usg=AOvVaw1uQO1jg4cAUX9SHerkYTWT,,,,,,,,,,,,,,,,,,,,,,
1030,Cincinnati,Ohio,39.1014537,-84.51246,PJM,2018,2018,12/14/2018 ,Solar,On-site,0.096,,,,Duke Energy,Investor-owned Utility,,Evanston Recreation Center Solar,Cincinnati,Ohio,2022,,City contact,https://www.google.com/url?sa=t&rct=j&q=&esrc=s&source=web&cd=&cad=rja&uact=8&ved=2ahUKEwiwqdPVkvH1AhU7FzQIHQAIADkQFnoECA0QAQ&url=https%3A%2F%2Fdata.cincinnati-oh.gov%2Fviews%2Fb397-t996%2Ffiles%2F5493bd0d-9d25-4a0b-9fcc-b7c211a1f4a5%3Ffilename%3DRFQ668OESSOLAR.pdf%26content_type%3Dapplication%25252Fpdf%25253B%252520charset%25253Dbinary&usg=AOvVaw1uQO1jg4cAUX9SHerkYTWT,,,,,,,,,,,,,,,,,,,,,,
1031,Cincinnati,Ohio,39.1014537,-84.51246,PJM,2018,2018,12/14/2018 ,Solar,On-site,0.103,,,,Duke Energy,Investor-owned Utility,,Fire House 35 Solar,Cincinnati,Ohio,2022,,City contact,https://www.google.com/url?sa=t&rct=j&q=&esrc=s&source=web&cd=&cad=rja&uact=8&ved=2ahUKEwiwqdPVkvH1AhU7FzQIHQAIADkQFnoECA0QAQ&url=https%3A%2F%2Fdata.cincinnati-oh.gov%2Fviews%2Fb397-t996%2Ffiles%2F5493bd0d-9d25-4a0b-9fcc-b7c211a1f4a5%3Ffilename%3DRFQ668OESSOLAR.pdf%26content_type%3Dapplication%25252Fpdf%25253B%252520charset%25253Dbinary&usg=AOvVaw1uQO1jg4cAUX9SHerkYTWT,,,,,,,,,,,,,,,,,,,,,,
1032,Cincinnati,Ohio,39.1014537,-84.51246,PJM,2018,2018,12/14/2018 ,Solar,On-site,0.109,,,,Duke Energy,Investor-owned Utility,,Highway Maintenance Solar,Cincinnati,Ohio,2022,,City contact,https://www.google.com/url?sa=t&rct=j&q=&esrc=s&source=web&cd=&cad=rja&uact=8&ved=2ahUKEwiwqdPVkvH1AhU7FzQIHQAIADkQFnoECA0QAQ&url=https%3A%2F%2Fdata.cincinnati-oh.gov%2Fviews%2Fb397-t996%2Ffiles%2F5493bd0d-9d25-4a0b-9fcc-b7c211a1f4a5%3Ffilename%3DRFQ668OESSOLAR.pdf%26content_type%3Dapplication%25252Fpdf%25253B%252520charset%25253Dbinary&usg=AOvVaw1uQO1jg4cAUX9SHerkYTWT,,,,,,,,,,,,,,,,,,,,,,
1033,Cincinnati,Ohio,39.1014537,-84.51246,PJM,2018,2018,12/14/2018 ,Solar,On-site,0.138,,,,Duke Energy,Investor-owned Utility,,Fire House 18 Solar,Cincinnati,Ohio,2022,,City contact,https://www.google.com/url?sa=t&rct=j&q=&esrc=s&source=web&cd=&cad=rja&uact=8&ved=2ahUKEwiwqdPVkvH1AhU7FzQIHQAIADkQFnoECA0QAQ&url=https%3A%2F%2Fdata.cincinnati-oh.gov%2Fviews%2Fb397-t996%2Ffiles%2F5493bd0d-9d25-4a0b-9fcc-b7c211a1f4a5%3Ffilename%3DRFQ668OESSOLAR.pdf%26content_type%3Dapplication%25252Fpdf%25253B%252520charset%25253Dbinary&usg=AOvVaw1uQO1jg4cAUX9SHerkYTWT,,,,,,,,,,,,,,,,,,,,,,
1034,Cincinnati,Ohio,39.1014537,-84.51246,PJM,,2022,,Solar,On-site,0.179,,,,Duke Energy,Investor-owned Utility,,Fleet Services Garage Solar,Cincinnati,Ohio,2022,,City contact,,,,,,,,,,,,,,,,,,,,,,,
1035,Cincinnati,Ohio,39.1014537,-84.51246,PJM,,2022,,Solar,On-site,0.241,,,,Duke Energy,Investor-owned Utility,,West Fork Garage Solar,Cincinnati,Ohio,2022,,City contact,,,,,,,,,,,,,,,,,,,,,,,
1036,Cincinnati,Ohio,39.1014537,-84.51246,PJM,2018,2018,12/14/2018 ,Solar,On-site,0.303,,,,Duke Energy,Investor-owned Utility,,Millvale Health Center Solar,Cincinnati,Ohio,2022,,City contact,https://www.google.com/url?sa=t&rct=j&q=&esrc=s&source=web&cd=&cad=rja&uact=8&ved=2ahUKEwiwqdPVkvH1AhU7FzQIHQAIADkQFnoECA0QAQ&url=https%3A%2F%2Fdata.cincinnati-oh.gov%2Fviews%2Fb397-t996%2Ffiles%2F5493bd0d-9d25-4a0b-9fcc-b7c211a1f4a5%3Ffilename%3DRFQ668OESSOLAR.pdf%26content_type%3Dapplication%25252Fpdf%25253B%252520charset%25253Dbinary&usg=AOvVaw1uQO1jg4cAUX9SHerkYTWT,,,,,,,,,,,,,,,,,,,,,,
1037,Cincinnati,Ohio,39.1014537,-84.51246,PJM,,2015,,Solar,On-site,0.329,,,,Duke Energy,Investor-owned Utility,,District 3 Police Headquarters Solar ,Cincinnati,Ohio,2015,,City contact,https://www.cmta.com/results/case-studies/cincinnati-district-3-police-headquarters,,,,,,,,,,,,,,,,,,,,,,
1038,Cincinnati,Ohio,39.1014537,-84.51246,PJM,,2022,,Solar,On-site,0.716,,,,Duke Energy,Investor-owned Utility,,Duke Energy Convention Center Phase 2 Solar,Cincinnati,Ohio,2022,,City contact,https://icma.org/sites/default/files/307432_Sunshot%20Solar%20Outreach%20Partnership%20Case%20Study_Cincinnati%20OH.pdf,,,,,,,,,,,,,,,,,,,,,,
1039,Cincinnati,Ohio,39.1014537,-84.51246,PJM,2017,2017,06/28/2017,Solar,On-site,25.000,,,,Dynegy,Investor-owned Utility,,Greater Cincinnati Water Works solar project (phase 1),Cincinnati,Ohio,,,https://www.cincinnati-oh.gov/mayor/news/mayor-cranley-announces-water-works-to-go-solar/,,,,,,,,,,,,,,,,,,,,,,,
1040,Cincinnati,Ohio,39.1014537,-84.51246,PJM,2019,2019,11/21/2019,Solar,Off-site Physical PPA,35.000,,20,,Dynegy,Investor-owned Utility,,,Highland County,Ohio,2020,,https://www.cincinnati-oh.gov/mayor/news/cincinnati-to-construct-nation-s-largest-city-led-solar-project/,,,,,,,,,,,,,,,,,,,,,,,
1041,Cincinnati,Ohio,39.1014537,-84.51246,PJM,2019,2019,11/21/2019,Solar,Off-site Physical PPA,65.000,,20,,Dynegy,Investor-owned Utility,,Cincinnati Electric Aggregation Program,Highland County,Ohio,2021,,https://www.cincinnati-oh.gov/mayor/news/cincinnati-to-construct-nation-s-largest-city-led-solar-project/,,,,,,,,,,,,,,,,,,,,,,,
