Region,RE or Non-RE,Group Technology,Year,Electricity Installed Capacity (MW),Electricity Generation (GWh),Heat Generation (TJ),Public Flows (2022 USD M),SDG 7a1 Intl. Public Flows (2022 USD M)
Americas,Total Renewable,Hydropower (excl. Pumped Storage),2023,369184.20,1387233.57,,208.48,
Americas,Total Renewable,Hydropower (excl. Pumped Storage),2024,367947.54,,,,
Americas,Total Renewable,Multiple renewables*,2000,,,,9.24,9.26
Americas,Total Renewable,Multiple renewables*,2001,,,,22.27,23.09
Americas,Total Renewable,Multiple renewables*,2002,,,,52.86,54.58
Americas,Total Renewable,Multiple renewables*,2003,,,,84.76,88.53
Americas,Total Renewable,Multiple renewables*,2004,,,,52.27,53.76
Americas,Total Renewable,Multiple renewables*,2005,,,,61.77,63.52
Americas,Total Renewable,Multiple renewables*,2006,,,,147.78,156.01
Americas,Total Renewable,Multiple renewables*,2007,,,,69.43,74.21
Americas,Total Renewable,Multiple renewables*,2008,,,,132.09,139.95
Americas,Total Renewable,Multiple renewables*,2009,,,,345.13,362.12
Americas,Total Renewable,Multiple renewables*,2010,,,,166.24,174.15
Americas,Total Renewable,Multiple renewables*,2011,,,,106.30,113.05
Americas,Total Renewable,Multiple renewables*,2012,,,,845.83,870.63
Americas,Total Renewable,Multiple renewables*,2013,,,,728.41,738.65
Americas,Total Renewable,Multiple renewables*,2014,,,,836.47,871.83
Americas,Total Renewable,Multiple renewables*,2015,,,,615.23,585.32
Americas,Total Renewable,Multiple renewables*,2016,,,,867.65,909.11
Americas,Total Renewable,Multiple renewables*,2017,,,,1447.66,1521.40
Americas,Total Renewable,Multiple renewables*,2018,,,,1022.82,967.05
Americas,Total Renewable,Multiple renewables*,2019,,,,1425.43,1510.36
Americas,Total Renewable,Multiple renewables*,2020,,,,2681.78,2725.63
Americas,Total Renewable,Multiple renewables*,2021,,,,341.44,272.86
Americas,Total Renewable,Multiple renewables*,2022,,,,1966.06,1791.42
Americas,Total Renewable,Multiple renewables*,2023,,,,2039.35,
Americas,Total Renewable,Solar energy,2000,614.38,730.13,,1.51,1.63
Americas,Total Renewable,Solar energy,2001,481.92,809.79,,10.71,11.59
Americas,Total Renewable,Solar energy,2002,482.48,856.76,,48.58,1.17
Americas,Total Renewable,Solar energy,2003,708.28,877.14,,0.37,0.40
Americas,Total Renewable,Solar energy,2004,780.61,999.88,,0.69,0.75
Americas,Total Renewable,Solar energy,2005,912.42,1157.05,,0.81,0.88
Americas,Total Renewable,Solar energy,2006,1135.49,1331.88,,33.52,35.95
Americas,Total Renewable,Solar energy,2007,1485.41,1723.62,,0.86,0.92
Americas,Total Renewable,Solar energy,2008,1674.23,2162.82,,9.93,10.72
Americas,Total Renewable,Solar energy,2009,2215.13,2671.48,,1190.12,17.27
Americas,Total Renewable,Solar energy,2010,3709.65,4322.30,,1215.49,54.58
Americas,Total Renewable,Solar energy,2011,6317.45,7019.42,,188.96,168.55
Americas,Total Renewable,Solar energy,2012,9698.13,11499.58,,2718.54,337.85
Americas,Total Renewable,Solar energy,2013,14631.60,18011.64,,1257.52,876.92
Americas,Total Renewable,Solar energy,2014,20150.12,29363.73,,637.66,637.53
Americas,Total Renewable,Solar energy,2015,27799.99,41746.53,,518.87,492.33
Americas,Total Renewable,Solar energy,2016,40389.29,59082.73,,2843.33,2939.01
Americas,Total Renewable,Solar energy,2017,51840.82,82572.89,,1476.53,1273.51
Americas,Total Renewable,Solar energy,2018,64624.89,105096.43,,877.34,561.92
Americas,Total Renewable,Solar energy,2019,81089.46,130754.40,,371.94,394.64
Americas,Total Renewable,Solar energy,2020,102270.24,165985.73,,869.24,532.76
Americas,Total Renewable,Solar energy,2021,132455.86,214642.09,,980.91,774.83
Americas,Total Renewable,Solar energy,2022,165232.44,270772.21,,2015.24,1309.73
Americas,Total Renewable,Solar energy,2023,211034.49,330999.34,,1621.75,
Americas,Total Renewable,Solar energy,2024,269036.49,,,,
Americas,Total Renewable,Wind energy,2000,2574.96,6188.00,,0.97,0.98
Americas,Total Renewable,Wind energy,2001,4119.58,7528.95,,9.45,10.02
Americas,Total Renewable,Wind energy,2002,4709.08,11392.44,,0.01,0.01
Americas,Total Renewable,Wind energy,2003,6462.62,12628.88,,0.28,0.28
Americas,Total Renewable,Wind energy,2004,7087.22,15854.15,,1.03,1.07
Americas,Total Renewable,Wind energy,2005,9564.02,20045.98,,307.91,6.99
Americas,Total Renewable,Wind energy,2006,13234.25,30024.25,,94.94,
Americas,Total Renewable,Wind energy,2007,18875.22,39070.74,,,
Americas,Total Renewable,Wind energy,2008,27624.30,61454.90,,135.16,0.09
Americas,Total Renewable,Wind energy,2009,39093.45,83560.37,,613.12,43.77
Americas,Total Renewable,Wind energy,2010,45102.64,108573.86,,265.16,176.55
Americas,Total Renewable,Wind energy,2011,53799.33,137065.70,,1697.26,91.28
Americas,Total Renewable,Wind energy,2012,70149.79,165115.06,,1706.79,227.74
Americas,Total Renewable,Wind energy,2013,73501.14,202772.04,,1867.69,490.85
Americas,Total Renewable,Wind energy,2014,84096.46,231482.91,,3234.83,1134.93
Americas,Total Renewable,Wind energy,2015,98276.75,259908.46,,2714.01,395.38
Americas,Total Renewable,Wind energy,2016,111915.99,315965.00,,872.99,38.37
Americas,Total Renewable,Wind energy,2017,121497.11,354931.36,,2748.39,276.22
Americas,Total Renewable,Wind energy,2018,132217.97,387657.12,,659.61,150.00
Americas,Total Renewable,Wind energy,2019,146468.87,426668.43,,1671.95,482.04
Americas,Total Renewable,Wind energy,2020,165160.74,482652.54,,608.16,32.06
Americas,Total Renewable,Wind energy,2021,185780.78,547552.93,,1318.77,303.08
Americas,Total Renewable,Wind energy,2022,200112.00,617074.54,,1178.52,427.66
Americas,Total Renewable,Wind energy,2023,213287.82,622864.65,,105.65,
Americas,Total Renewable,Wind energy,2024,224650.33,,,,
Americas,Total Non-Renewable,Pumped storage,2000,16581.00,27004.00,,,
Americas,Total Non-Renewable,Pumped storage,2001,17776.00,26626.00,,,
Americas,Total Non-Renewable,Pumped storage,2002,18122.00,24895.00,,,
Americas,Total Non-Renewable,Pumped storage,2003,18319.00,27273.00,,,
Americas,Total Non-Renewable,Pumped storage,2004,18340.00,27029.00,,,
Americas,Total Non-Renewable,Pumped storage,2005,18922.00,26024.00,,,
Americas,Total Non-Renewable,Pumped storage,2006,19048.00,26276.00,,,
Americas,Total Non-Renewable,Pumped storage,2007,19477.00,26603.00,,,
Americas,Total Non-Renewable,Pumped storage,2008,19317.00,25930.00,,,
Americas,Total Non-Renewable,Pumped storage,2009,19623.00,23646.00,,,
Americas,Total Non-Renewable,Pumped storage,2010,19662.00,24729.00,,,
Americas,Total Non-Renewable,Pumped storage,2011,19740.00,23500.00,,,
Americas,Total Non-Renewable,Pumped storage,2012,19813.00,20606.00,,,
Americas,Total Non-Renewable,Pumped storage,2013,19834.00,19865.00,,,
Americas,Total Non-Renewable,Pumped storage,2014,19924.00,20647.00,,,
Americas,Total Non-Renewable,Pumped storage,2015,20014.00,20800.00,,,
Americas,Total Non-Renewable,Pumped storage,2016,20175.00,23092.00,,,
Americas,Total Non-Renewable,Pumped storage,2017,20206.70,23263.79,,,
Americas,Total Non-Renewable,Pumped storage,2018,20232.50,21916.20,,,
Americas,Total Non-Renewable,Pumped storage,2019,20179.40,21301.71,,,
Americas,Total Non-Renewable,Pumped storage,2020,20381.30,21782.35,,,
Americas,Total Non-Renewable,Pumped storage,2021,19920.80,21281.12,,,
Americas,Total Non-Renewable,Pumped storage,2022,19964.60,23402.68,,0.25,
Americas,Total Non-Renewable,Pumped storage,2023,20079.00,23060.73,,,
Americas,Total Non-Renewable,Pumped storage,2024,20079.00,,,,
Americas,Total Non-Renewable,Fossil fuels,2000,723089.03,3424963.14,330629.00,126.41,
Americas,Total Non-Renewable,Fossil fuels,2001,764220.11,3340371.06,323236.00,347.81,
Americas,Total Non-Renewable,Fossil fuels,2002,825404.10,3431128.46,384114.00,604.87,
Americas,Total Non-Renewable,Fossil fuels,2003,876026.52,3496706.87,375675.00,440.03,
Americas,Total Non-Renewable,Fossil fuels,2004,894946.21,3579012.92,262387.00,752.56,
Americas,Total Non-Renewable,Fossil fuels,2005,909078.81,3702983.04,254195.00,187.36,
Americas,Total Non-Renewable,Fossil fuels,2006,917777.08,3684438.59,519308.00,135.65,
Americas,Total Non-Renewable,Fossil fuels,2007,925471.00,3785749.90,524563.00,494.94,
Americas,Total Non-Renewable,Fossil fuels,2008,936547.94,3792952.51,507436.00,246.59,
Americas,Total Non-Renewable,Fossil fuels,2009,949612.64,3568947.97,493074.00,10824.50,
Americas,Total Non-Renewable,Fossil fuels,2010,965964.56,3787253.41,483786.00,703.39,
Americas,Total Non-Renewable,Fossil fuels,2011,973878.08,3707385.22,487472.00,1936.57,
Americas,Total Non-Renewable,Fossil fuels,2012,972362.62,3746910.36,485695.00,4505.93,
Americas,Total Non-Renewable,Fossil fuels,2013,972345.07,3758854.14,443131.00,4364.31,
Americas,Total Non-Renewable,Fossil fuels,2014,977383.40,3780946.86,408855.00,424.69,
Americas,Total Non-Renewable,Fossil fuels,2015,963633.83,3775371.63,392930.00,1041.73,
Americas,Total Non-Renewable,Fossil fuels,2016,966273.94,3674163.19,464209.00,1.73,
Americas,Total Non-Renewable,Fossil fuels,2017,968643.99,3596005.79,408652.41,0.82,
Americas,Total Non-Renewable,Fossil fuels,2018,984649.75,3731812.38,443566.12,890.11,
Americas,Total Non-Renewable,Fossil fuels,2019,979122.78,3643794.60,421233.66,1416.30,
Americas,Total Non-Renewable,Fossil fuels,2020,977837.53,3413365.11,418213.05,936.22,
Americas,Total Non-Renewable,Fossil fuels,2021,978023.52,3556464.41,396212.48,595.08,
Americas,Total Non-Renewable,Fossil fuels,2022,967809.41,3530373.80,393596.11,648.00,
Americas,Total Non-Renewable,Fossil fuels,2023,963946.89,3542124.79,391176.74,709.71,
Americas,Total Non-Renewable,Fossil fuels,2024,959261.87,,,,
Americas,Total Non-Renewable,Nuclear,2000,112754.00,890961.11,,,
Americas,Total Non-Renewable,Nuclear,2001,113053.00,899362.64,,,
Americas,Total Non-Renewable,Nuclear,2002,113592.00,909448.81,,,
Americas,Total Non-Renewable,Nuclear,2003,114144.00,894136.29,,,
Americas,Total Non-Renewable,Nuclear,2004,116753.00,932399.60,,,
Americas,Total Non-Renewable,Nuclear,2005,117653.00,930299.30,,,
Americas,Total Non-Renewable,Nuclear,2006,117999.00,946470.01,,,
Americas,Total Non-Renewable,Nuclear,2007,117931.00,960103.99,,2.59,
Americas,Total Non-Renewable,Nuclear,2008,118420.00,964926.97,,50.99,
Americas,Total Non-Renewable,Nuclear,2009,117989.00,951920.67,,67.88,
Americas,Total Non-Renewable,Nuclear,2010,118452.00,957162.04,,48.85,
Americas,Total Non-Renewable,Nuclear,2011,118704.00,947113.28,,2563.45,
Americas,Total Non-Renewable,Nuclear,2012,119875.00,927194.56,,6.57,
Americas,Total Non-Renewable,Nuclear,2013,117881.00,958899.59,,0.00,
Americas,Total Non-Renewable,Nuclear,2014,117725.00,968433.40,,0.01,
Americas,Total Non-Renewable,Nuclear,2015,118033.00,965447.03,,11.64,
Americas,Total Non-Renewable,Nuclear,2016,118951.00,976063.05,,4.89,
Americas,Total Non-Renewable,Nuclear,2017,119014.90,972498.79,,8.10,
Americas,Total Non-Renewable,Nuclear,2018,118123.90,977741.43,,0.12,
Americas,Total Non-Renewable,Nuclear,2019,116810.00,979772.96,,0.28,
Americas,Total Non-Renewable,Nuclear,2020,114366.60,956586.01,,0.30,
Americas,Total Non-Renewable,Nuclear,2021,113984.40,940977.76,,5.41,
Americas,Total Non-Renewable,Nuclear,2022,113096.90,924353.03,,1.64,
Americas,Total Non-Renewable,Nuclear,2023,113734.20,933656.42,,2.91,
Americas,Total Non-Renewable,Nuclear,2024,114848.20,,,,
Americas,Total Non-Renewable,Other non-renewable energy,2000,2064.58,19041.51,8970.00,,
Americas,Total Non-Renewable,Other non-renewable energy,2001,1739.58,17961.12,5028.00,,
Americas,Total Non-Renewable,Other non-renewable energy,2002,2096.33,19526.17,7957.00,,
Americas,Total Non-Renewable,Other non-renewable energy,2003,2032.33,19903.05,5722.00,,
Americas,Total Non-Renewable,Other non-renewable energy,2004,2014.33,19961.26,3139.00,,
Americas,Total Non-Renewable,Other non-renewable energy,2005,2166.33,19137.63,4480.00,,
Americas,Total Non-Renewable,Other non-renewable energy,2006,2171.33,18930.70,9427.00,,
Americas,Total Non-Renewable,Other non-renewable energy,2007,2250.63,18760.85,9294.00,,
Americas,Total Non-Renewable,Other non-renewable energy,2008,2355.63,17992.48,9833.00,,
Americas,Total Non-Renewable,Other non-renewable energy,2009,2346.63,19772.10,10048.00,,
Americas,Total Non-Renewable,Other non-renewable energy,2010,2314.24,21794.63,9756.00,,
Americas,Total Non-Renewable,Other non-renewable energy,2011,2223.38,24737.37,11951.00,,
Americas,Total Non-Renewable,Other non-renewable energy,2012,3082.38,24672.36,12775.00,,
Americas,Total Non-Renewable,Other non-renewable energy,2013,3616.38,25268.57,10513.00,,
Americas,Total Non-Renewable,Other non-renewable energy,2014,4075.38,25901.72,11574.00,,
Americas,Total Non-Renewable,Other non-renewable energy,2015,2943.38,24085.15,11137.00,17.33,
Americas,Total Non-Renewable,Other non-renewable energy,2016,3035.53,24561.00,15442.00,,
Americas,Total Non-Renewable,Other non-renewable energy,2017,3831.93,25103.13,14226.20,5.29,
Americas,Total Non-Renewable,Other non-renewable energy,2018,6706.18,29210.43,13781.42,17.07,
Americas,Total Non-Renewable,Other non-renewable energy,2019,6939.50,29307.10,14459.31,0.93,
Americas,Total Non-Renewable,Other non-renewable energy,2020,6921.77,29649.33,14453.66,,
Americas,Total Non-Renewable,Other non-renewable energy,2021,6920.42,29776.13,12266.09,,
Americas,Total Non-Renewable,Other non-renewable energy,2022,20638.92,36750.19,7765.42,,
Americas,Total Non-Renewable,Other non-renewable energy,2023,36075.07,31532.04,8628.79,,
Americas,Total Non-Renewable,Other non-renewable energy,2024,36077.07,,,,
Asia,Total Renewable,Geothermal energy,2000,2944.65,20443.50,,0.14,0.13
Asia,Total Renewable,Geothermal energy,2001,3204.65,20023.00,,,
Asia,Total Renewable,Geothermal energy,2002,3204.65,20190.43,,0.50,0.47
Asia,Total Renewable,Geothermal energy,2003,3223.65,19408.56,,,
Asia,Total Renewable,Geothermal energy,2004,3238.65,20137.31,,43.75,51.77
Asia,Total Renewable,Geothermal energy,2005,3268.65,19921.40,,151.45,179.60
Asia,Total Renewable,Geothermal energy,2006,3273.65,20393.51,,7.49,8.89
Asia,Total Renewable,Geothermal energy,2007,3403.65,20529.98,,0.03,0.03
Asia,Total Renewable,Geothermal energy,2008,3485.75,22039.02,,0.51,0.56
Asia,Total Renewable,Geothermal energy,2009,3672.75,23035.49,,165.80,170.30
Asia,Total Renewable,Geothermal energy,2010,3691.05,22727.51,,4.12,3.99
Asia,Total Renewable,Geothermal energy,2011,3750.15,22825.00,,393.64,438.72
Asia,Total Renewable,Geothermal energy,2012,3883.15,23315.70,,0.49,0.52
Asia,Total Renewable,Geothermal energy,2013,4039.45,23129.88,,261.49,274.34
Asia,Total Renewable,Geothermal energy,2014,4258.85,25475.03,,662.09,745.17
Asia,Total Renewable,Geothermal energy,2015,4520.45,27256.54,,289.01,300.47
Asia,Total Renewable,Geothermal energy,2016,4822.45,29190.82,,79.23,81.65
Asia,Total Renewable,Geothermal energy,2017,5285.52,31763.66,,93.48,95.77
Asia,Total Renewable,Geothermal energy,2018,5658.11,34554.46,,827.05,885.01
Asia,Total Renewable,Geothermal energy,2019,6080.55,36734.58,,292.90,302.78
Asia,Total Renewable,Geothermal energy,2020,6185.34,39485.88,,308.37,319.00
Asia,Total Renewable,Geothermal energy,2021,6407.68,39870.41,,277.03,285.60
Asia,Total Renewable,Geothermal energy,2022,6451.53,41370.36,,0.59,0.57
Asia,Total Renewable,Geothermal energy,2023,6730.04,42336.00,,2.01,
Asia,Total Renewable,Geothermal energy,2024,6847.53,,,,
Asia,Total Renewable,Marine energy,2000,3.85,7.38,,0.01,0.01
Asia,Total Renewable,Marine energy,2001,3.85,7.38,,,
Asia,Total Renewable,Marine energy,2002,3.85,7.38,,,
Asia,Total Renewable,Marine energy,2003,3.85,7.38,,,
Asia,Total Renewable,Marine energy,2004,3.85,7.38,,,
Asia,Total Renewable,Marine energy,2005,3.85,7.38,,,
Asia,Total Renewable,Marine energy,2006,3.85,7.38,,0.40,0.43
Asia,Total Renewable,Marine energy,2007,3.85,7.38,,,
Asia,Total Renewable,Marine energy,2008,3.85,7.38,,,
Asia,Total Renewable,Marine energy,2009,3.85,7.38,,,
Asia,Total Renewable,Marine energy,2010,5.55,7.38,,,
Asia,Total Renewable,Marine energy,2011,4.55,7.38,,,
Asia,Total Renewable,Marine energy,2012,4.55,7.38,,,
Asia,Total Renewable,Marine energy,2013,259.55,491.38,,,
Asia,Total Renewable,Marine energy,2014,259.57,499.38,,,
Asia,Total Renewable,Marine energy,2015,259.77,503.38,,,
Asia,Total Renewable,Marine energy,2016,259.77,503.38,,,
Asia,Total Renewable,Marine energy,2017,259.88,496.85,,,
Asia,Total Renewable,Marine energy,2018,259.77,492.74,,,
Asia,Total Renewable,Marine energy,2019,260.27,481.70,,2.68,2.87
Asia,Total Renewable,Marine energy,2020,260.77,464.65,,,
Asia,Total Renewable,Marine energy,2021,260.77,462.35,,,
Asia,Total Renewable,Marine energy,2022,260.77,431.23,,,
Asia,Total Renewable,Marine energy,2023,260.95,444.95,,,
Asia,Total Renewable,Marine energy,2024,259.95,,,,
Asia,Total Renewable,Bioenergy,2000,5235.44,27764.65,14236.00,12.09,12.86
Asia,Total Renewable,Bioenergy,2001,5427.46,27756.19,14935.00,3.45,3.66
Asia,Total Renewable,Bioenergy,2002,6061.77,30224.59,17760.00,39.68,40.70
Asia,Total Renewable,Bioenergy,2003,6369.59,33381.66,17238.00,2.73,2.80
Asia,Total Renewable,Bioenergy,2004,6834.57,34960.38,16750.00,1.67,1.76
Asia,Total Renewable,Bioenergy,2005,7639.78,41187.61,17343.00,16.07,16.98
Asia,Total Renewable,Bioenergy,2006,9070.07,43883.39,18067.00,19.39,20.47
Asia,Total Renewable,Bioenergy,2007,10396.82,52805.17,18788.00,30.31,31.76
Asia,Total Renewable,Bioenergy,2008,11664.14,59669.96,20528.00,19.35,20.80
Asia,Total Renewable,Bioenergy,2009,14133.70,64619.33,22056.00,76.89,80.65
Asia,Total Renewable,Bioenergy,2010,14038.02,72179.84,23164.00,100.59,103.62
Asia,Total Renewable,Bioenergy,2011,15493.59,78300.77,19741.00,18.88,19.38
Asia,Total Renewable,Bioenergy,2012,15999.35,90157.68,20585.00,87.97,88.18
Asia,Total Renewable,Bioenergy,2013,18326.63,96281.94,22529.00,168.54,172.02
Asia,Total Renewable,Bioenergy,2014,21105.33,108570.55,28157.90,58.40,62.56
Asia,Total Renewable,Bioenergy,2015,23983.96,119672.63,24163.10,92.35,95.61
Asia,Total Renewable,Bioenergy,2016,30385.33,126965.11,23817.19,100.42,105.30
Asia,Total Renewable,Bioenergy,2017,33857.01,143413.68,29306.97,103.00,105.98
Asia,Total Renewable,Bioenergy,2018,37827.35,160607.55,29192.91,187.63,194.00
Asia,Total Renewable,Bioenergy,2019,42935.16,186562.04,28819.01,147.57,152.52
Asia,Total Renewable,Bioenergy,2020,49973.70,204545.98,30019.12,69.09,71.44
Asia,Total Renewable,Bioenergy,2021,56593.98,239681.16,32179.94,89.22,92.76
Asia,Total Renewable,Bioenergy,2022,61364.32,266632.46,33676.39,127.35,119.83
Asia,Total Renewable,Bioenergy,2023,64295.31,290168.49,33314.66,136.67,
Asia,Total Renewable,Bioenergy,2024,66825.06,,,,
Asia,Total Renewable,Hydropower (excl. Pumped Storage),2000,181457.47,560882.00,,180.73,213.30
Asia,Total Renewable,Hydropower (excl. Pumped Storage),2001,191635.83,609673.92,,915.18,989.34
Asia,Total Renewable,Hydropower (excl. Pumped Storage),2002,197025.84,631297.04,,530.93,611.56
Asia,Total Renewable,Hydropower (excl. Pumped Storage),2003,211752.43,654507.59,,560.43,572.47
Asia,Total Renewable,Hydropower (excl. Pumped Storage),2004,227397.58,748609.39,,837.65,934.94
Asia,Total Renewable,Hydropower (excl. Pumped Storage),2005,243004.23,795004.42,,129.32,135.10
Asia,Total Renewable,Hydropower (excl. Pumped Storage),2006,259247.36,876911.43,,720.97,790.95
Asia,Total Renewable,Hydropower (excl. Pumped Storage),2007,277959.36,914343.54,,1170.67,1216.38
Asia,Total Renewable,Hydropower (excl. Pumped Storage),2008,303056.66,1008589.00,,1338.41,1374.42
Asia,Total Renewable,Hydropower (excl. Pumped Storage),2009,327440.69,1033782.17,,941.20,965.71
Asia,Total Renewable,Hydropower (excl. Pumped Storage),2010,351134.90,1178659.16,,987.94,1046.79
Asia,Total Renewable,Hydropower (excl. Pumped Storage),2011,372872.52,1192219.35,,2663.83,2736.97
Asia,Total Renewable,Hydropower (excl. Pumped Storage),2012,397283.37,1387122.34,,2427.45,2232.39
Asia,Total Renewable,Hydropower (excl. Pumped Storage),2013,435901.95,1451609.08,,1623.90,1707.52
Asia,Total Renewable,Hydropower (excl. Pumped Storage),2014,466962.11,1587542.51,,2982.27,3121.44
Asia,Total Renewable,Hydropower (excl. Pumped Storage),2015,488213.21,1669589.91,,1725.95,1783.96
Asia,Total Renewable,Hydropower (excl. Pumped Storage),2016,501695.41,1742206.40,,1732.04,1787.65
Asia,Total Renewable,Hydropower (excl. Pumped Storage),2017,513225.95,1776265.29,,4274.08,4244.14
Asia,Total Renewable,Hydropower (excl. Pumped Storage),2018,527064.09,1822906.46,,2299.60,2403.89
Asia,Total Renewable,Hydropower (excl. Pumped Storage),2019,538219.15,1932466.54,,650.76,656.54
Asia,Total Renewable,Hydropower (excl. Pumped Storage),2020,555013.01,1989876.10,,1253.13,1291.96
Asia,Total Renewable,Hydropower (excl. Pumped Storage),2021,574486.23,1953338.76,,1394.41,1052.67
Asia,Total Renewable,Hydropower (excl. Pumped Storage),2022,591288.68,2004839.57,,489.74,521.53
Asia,Total Renewable,Hydropower (excl. Pumped Storage),2023,596767.01,1907652.55,,1384.95,
Asia,Total Renewable,Hydropower (excl. Pumped Storage),2024,607665.80,,,,
Asia,Total Renewable,Multiple renewables*,2000,,,,926.24,966.39
Asia,Total Renewable,Multiple renewables*,2001,,,,115.81,119.73
Asia,Total Renewable,Multiple renewables*,2002,,,,86.16,88.36
Asia,Total Renewable,Multiple renewables*,2003,,,,371.97,380.19
Asia,Total Renewable,Multiple renewables*,2004,,,,193.80,199.35
Asia,Total Renewable,Multiple renewables*,2005,,,,434.71,455.15
Asia,Total Renewable,Multiple renewables*,2006,,,,210.77,218.19
Asia,Total Renewable,Multiple renewables*,2007,,,,243.85,248.32
Asia,Total Renewable,Multiple renewables*,2008,,,,322.87,344.77
Asia,Total Renewable,Multiple renewables*,2009,,,,1239.31,1268.46
Asia,Total Renewable,Multiple renewables*,2010,,,,838.58,873.32
Asia,Total Renewable,Multiple renewables*,2011,,,,1967.45,2102.97
Asia,Total Renewable,Multiple renewables*,2012,,,,1413.11,1208.65
Asia,Total Renewable,Multiple renewables*,2013,,,,1319.58,1382.54
Asia,Total Renewable,Multiple renewables*,2014,,,,1104.38,1189.68
Asia,Total Renewable,Multiple renewables*,2015,,,,1575.02,1664.36
Asia,Total Renewable,Multiple renewables*,2016,,,,2628.17,2560.26
Asia,Total Renewable,Multiple renewables*,2017,,,,1421.76,1494.59
Asia,Total Renewable,Multiple renewables*,2018,,,,2315.50,2427.60
Asia,Total Renewable,Multiple renewables*,2019,,,,1763.33,1816.28
Asia,Total Renewable,Multiple renewables*,2020,,,,1201.55,1214.85
Asia,Total Renewable,Multiple renewables*,2021,,,,1105.94,973.93
Asia,Total Renewable,Multiple renewables*,2022,,,,2172.83,1368.88
Asia,Total Renewable,Multiple renewables*,2023,,,,1931.50,
Asia,Total Renewable,Solar energy,2000,369.05,401.45,,13.12,13.92
Asia,Total Renewable,Solar energy,2001,505.00,608.30,,223.71,238.91
Asia,Total Renewable,Solar energy,2002,710.96,735.77,,77.38,81.32
Asia,Total Renewable,Solar energy,2003,949.83,969.61,,28.50,30.57
Asia,Total Renewable,Solar energy,2004,1239.99,1249.47,,12.57,13.39
Asia,Total Renewable,Solar energy,2005,1610.99,1616.61,,31.32,33.48
Asia,Total Renewable,Solar energy,2006,1972.66,1997.21,,13.63,14.59
Asia,Total Renewable,Solar energy,2007,2297.32,2366.83,,12.29,12.64
Asia,Total Renewable,Solar energy,2008,2883.44,2894.52,,3.82,3.43
Asia,Total Renewable,Solar energy,2009,3771.63,3833.36,,76.78,83.15
Asia,Total Renewable,Solar energy,2010,5640.23,5486.65,,150.55,159.43
Asia,Total Renewable,Solar energy,2011,9944.42,8843.97,,842.30,811.52
Asia,Total Renewable,Solar energy,2012,16624.00,14603.31,,631.18,649.71
Asia,Total Renewable,Solar energy,2013,36941.67,27888.28,,566.93,582.03
Asia,Total Renewable,Solar energy,2014,61600.89,57195.03,,1461.22,992.52
Asia,Total Renewable,Solar energy,2015,91860.06,91617.85,,591.14,448.14
Asia,Total Renewable,Solar energy,2016,142759.64,140390.91,,5158.70,5283.09
Asia,Total Renewable,Solar energy,2017,217340.68,215420.12,,1284.92,1329.92
Asia,Total Renewable,Solar energy,2018,284548.68,306571.83,,1697.25,1763.32
Asia,Total Renewable,Solar energy,2019,343526.59,390556.68,,713.86,740.32
Asia,Total Renewable,Solar energy,2020,427459.74,468702.82,,1479.68,1324.51
Asia,Total Renewable,Solar energy,2021,507676.39,585544.20,,2424.67,2378.25
Asia,Total Renewable,Solar energy,2022,625014.89,730696.36,,1281.89,987.12
Asia,Total Renewable,Solar energy,2023,874140.31,939460.86,,3970.94,
Asia,Total Renewable,Solar energy,2024,1201644.91,,,,
Asia,Total Renewable,Wind energy,2000,1417.01,2136.81,,3.19,3.43
Asia,Total Renewable,Wind energy,2001,2182.41,2674.98,,11.57,12.16
Asia,Total Renewable,Wind energy,2002,2407.95,3620.61,,67.99,76.75
Asia,Total Renewable,Wind energy,2003,3607.96,4578.36,,14.94,15.46
Asia,Total Renewable,Wind energy,2004,5439.69,6759.80,,6.42,6.67
Asia,Total Renewable,Wind energy,2005,7033.73,9299.41,,24.37,25.38
Asia,Total Renewable,Wind energy,2006,10636.12,12681.21,,4.78,5.13
Asia,Total Renewable,Wind energy,2007,14208.79,19092.64,,10.56,10.90
Asia,Total Renewable,Wind energy,2008,21421.80,28391.13,,30.69,32.78
Asia,Total Renewable,Wind energy,2009,32187.46,46430.76,,84.10,0.15
Asia,Total Renewable,Wind energy,2010,47579.17,74421.45,,90.78,89.84
Asia,Total Renewable,Wind energy,2011,67995.63,103560.09,,79.98,81.96
Asia,Total Renewable,Wind energy,2012,85365.87,139972.17,,257.55,255.47
Asia,Total Renewable,Wind energy,2013,102583.96,179862.27,,505.02,499.22
Asia,Total Renewable,Wind energy,2014,128317.16,205683.85,,418.91,415.02
Asia,Total Renewable,Wind energy,2015,166768.77,241201.73,,354.21,363.59
Asia,Total Renewable,Wind energy,2016,190468.81,307956.17,,474.02,488.03
Asia,Total Renewable,Wind energy,2017,212152.00,387430.08,,696.76,720.19
Asia,Total Renewable,Wind energy,2018,236852.25,462180.73,,549.34,542.78
Asia,Total Renewable,Wind energy,2019,266293.64,515335.56,,402.68,417.08
Asia,Total Renewable,Wind energy,2020,341955.24,582361.97,,158.65,165.39
Asia,Total Renewable,Wind energy,2021,396696.53,782336.35,,249.88,262.33
Asia,Total Renewable,Wind energy,2022,439706.13,909397.73,,834.22,980.66
Asia,Total Renewable,Wind energy,2023,522548.99,1046226.34,,2141.38,
Asia,Total Renewable,Wind energy,2024,609262.18,,,,
